timestamp,dataset_id,input,output,operation,crs,resolution,software_version,notes
2026-09-09T01:20:00Z,ALL,config/state_codes.csv,data/metadata,INITIALIZE_CATALOG_AND_SCHEMAS,EPSG:4326,Administrative,sentinel-ner-pipeline-1.0.0,Initialized authoritative metadata schemas and lookup tables for 8 NER states
2026-09-08T19:54:59.230055+00:00,ALL,"Sentinel-2, SRTM, IMD, SoilGrids, WorldCover, HydroSHEDS, GSI",data/processed/NER_2026_MASTER.csv,GENERATE_MASTER_DATASET,EPSG:32646 / EPSG:4326,250m,sentinel-ner-pipeline-1.0.0,Generated 1157 rows x 49 cols for 8 NER states. Validated: True
2026-09-08T21:25:27.317663+00:00,ALL,"Sentinel-2, SRTM, IMD, SoilGrids, WorldCover, HydroSHEDS, GSI",data/processed/NER_2026_MASTER.csv,GENERATE_MASTER_DATASET,EPSG:32646 / EPSG:4326,250m,sentinel-ner-pipeline-1.0.0,Generated 231 rows x 49 cols for 8 NER states. Validated: False
2026-09-08T21:26:02.257374+00:00,ALL,"Sentinel-2, SRTM, IMD, SoilGrids, WorldCover, HydroSHEDS, GSI",data/processed/NER_2026_MASTER.csv,GENERATE_MASTER_DATASET,EPSG:32646 / EPSG:4326,250m,sentinel-ner-pipeline-1.0.0,Generated 231 rows x 49 cols for 8 NER states. Validated: True
2026-09-08T21:26:50.386818+00:00,ALL,"Sentinel-2, SRTM, IMD, SoilGrids, WorldCover, HydroSHEDS, GSI",data/processed/NER_2026_MASTER.csv,GENERATE_MASTER_DATASET,EPSG:32646 / EPSG:4326,250m,sentinel-ner-pipeline-1.0.0,Generated 231 rows x 49 cols for 8 NER states. Validated: True
2026-09-08T22:09:39.424888+00:00,ALL,"Sentinel-2, SRTM, IMD, SoilGrids, WorldCover, HydroSHEDS, GSI",data/processed/NER_2026_MASTER.csv,GENERATE_MASTER_DATASET,EPSG:32646 / EPSG:4326,250m,sentinel-ner-pipeline-1.0.0,Generated 271 rows x 53 cols for 8 NER states. Validated: True
2026-09-08T22:09:39.462953+00:00,ALL,"Sentinel-2, SRTM, IMD, SoilGrids, WorldCover, HydroSHEDS, GSI",data/processed/NER_2026_MASTER.csv,GENERATE_MASTER_DATASET,EPSG:32646 / EPSG:4326,250m,sentinel-ner-pipeline-1.0.0,Generated 271 rows x 53 cols for 8 NER states. Validated: True
2026-09-08T22:09:39.803248+00:00,ALL,"Sentinel-2, SRTM, IMD, SoilGrids, WorldCover, HydroSHEDS, GSI",data/processed/NER_2026_MASTER.csv,GENERATE_MASTER_DATASET,EPSG:32646 / EPSG:4326,250m,sentinel-ner-pipeline-1.0.0,Generated 271 rows x 53 cols for 8 NER states. Validated: True
2026-09-08T23:01:45.237913+00:00,ALL,"Sentinel-2, SRTM, IMD, SoilGrids, WorldCover, HydroSHEDS, GSI, MoRTH",data/processed/NER_2026_MASTER.csv,GENERATE_MASTER_DATASET,EPSG:32646 / EPSG:4326,250m,sentinel-ner-pipeline-1.0.0,Generated 271 rows x 53 cols for 8 NER states. Validated: True
